Experiment,Final beta,Distortion,KL,"I(X;Z), nats",Encoder gain a,Decoder reliance b,Posterior variance
Constant target beta = 0.38,0.38,3.999628940180744,4.648662854178642e-05,4.6486610727901616e-05,0.004821039420053884,0.018380793825890165,0.9999154716230848
Linear warmup 0 to 0.38,0.38,3.6088187015767113,0.05159448668828803,0.051569540573250035,0.15574242785607112,0.6578843188166014,0.8930212012296281
Weak KL beta = 0.10,0.1,1.1539429467769329,0.630392872380646,0.6221778438764158,0.46065978884706577,1.5106196537316732,0.3435587070560784
Strong KL beta = 0.60,0.6,3.9999998674522605,2.152162337232255e-08,2.1521623103880082e-08,0.00010373432855660474,0.0006139982315288044,0.999999919853579
